Order_ID,Order_Date,Customer_ID,Product,Category,Region,City,Quantity,Unit_Price,Sales,Discount_Percent,Cost_Per_Unit,Delivery_Cost,Return_Status,Payment_Method,Payment_Status,Order_Status
ORD101240,2025-02-26,CUST1382,Blender,Home Appliances,South,Bengaluru,2,3079.48,6158.96,5.0,2234.47,239.75,No,Net Banking,Paid,Cancelled
ORD105079,2026-05-18,CUST1255,Coffee Maker,Home Appliances,East,Kolkata,4,5035.35,20141.4,0.0,3123.68,167.27,No,Net Banking,Paid,Delivered
ORD100562,2025-08-20,CUST1794,Jacket,Fashion,South,Bengaluru,1,5128.57,5128.57,10.0,3393.61,43.26,No,Debit Card,Paid,Delivered
ORD104670,2025-03-17,CUST1084,Mixer,Home Appliances,West,Pune,1,4357.93,4357.93,20.0,,321.66,No,Cash,Pending,Cancelled
ORD104677,2025-05-20,CUST1276,Desk,Furniture,South,Hyderabad,3,11280.68,33842.04,0.0,9572.28,296.85,No,Debit Card,Failed,Delivered
ORD102538,2026-02-16,CUST1611,Laptop,Electronics,East,Kolkata,1,49755.61,49755.61,5.0,40539.98,222.95,No,UPI,Paid,Delivered
ORD105378,2025-06-05,CUST1128,Backpack,Accessories,North,Lucknow,1,1630.79,1630.79,15.0,1304.55,298.15,No,Net Banking,Paid,Delivered
ORD102740,2025-02-23,CUST1671,Mixer,Home Appliances,West,Ahmedabad,4,3793.57,15174.28,5.0,3029.9,209.99,No,Net Banking,Paid,Delivered
ORD104671,2025-04-18,CUST1782,Headphones,Electronics,Central,Nagpur,1,3515.21,3515.21,20.0,2061.69,244.06,No,Cash,Failed,Cancelled
ORD101789,2026-06-20,CUST1029,Coffee Maker,Home Appliances,North,Lucknow,1,5737.55,5737.55,25.0,3178.56,172.55,Yes,Credit Card,Paid,Returned
ORD104981,2025-09-29,CUST1195,Blender,Home Appliances,South,Chennai,1,3129.02,3129.02,25.0,1967.38,239.01,Yes,Debit Card,Paid,Returned
ORD102291,2025-11-08,CUST1532,Smartphone,Electronics,Central,Nagpur,1,28268.56,28268.56,5.0,23621.72,170.34,No,Cash,Paid,Delivered
